city,date,unit,accounts,consensus_side,consensus_top_temp,forecast_max_proxy,forecast_round_temp,candidate_question,candidate_yes_price,candidate_no_price,candidate_liquidity,candidate_volume,recommendation,score,resolution_source
Shanghai,April 26,C,10,NO,21°C,23.8,24°C,Will the highest temperature in Shanghai be 24°C on April 26?,0.15,0.85,2492.2526,3215.807270000001,watch_or_paper_yes_if_official_station_confirms,204.1,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Moscow,April 26,C,9,NO,12°C,10.0,10°C,Will the highest temperature in Moscow be 10°C on April 26?,0.355,0.645,1334.108,552.213464,possible_main_forecast_bin_but_price_mid,172.8,
Tel Aviv,April 26,C,9,NO,22°C,24.5,24°C,Will the highest temperature in Tel Aviv be 24°C on April 26?,0.0095,0.9905,3094.58555,1035.1906319999998,too_longshot_or_source_mismatch,172.5,
Munich,April 26,C,11,NO,16°C,18.3,18°C,Will the highest temperature in Munich be 18°C on April 26?,0.305,0.695,1359.3351,630.019996,watch_or_paper_yes_if_official_station_confirms,158.2,https://www.wunderground.com/history/daily/de/munich/EDDM
Beijing,April 26,C,8,NO,22°C,24.4,24°C,Will the highest temperature in Beijing be 24°C on April 26?,0.175,0.825,1742.5394,2293.0962169999993,watch_or_paper_yes_if_official_station_confirms,155.2,https://www.wunderground.com/history/daily/cn/beijing/ZBAA
London,April 26,C,11,NO,20°C,18.2,18°C,Will the highest temperature in London be 18°C on April 26?,0.42,0.58,2232.7305,3234.936664,possible_main_forecast_bin_but_price_mid,149.8,https://www.wunderground.com/history/daily/gb/london/EGLC
Seoul,April 27,C,6,NO,15°C,16.5,16°C,Will the highest temperature in Seoul be 16°C on April 27?,0.12,0.88,2927.3867,1584.9765269999998,watch_or_paper_yes_if_official_station_confirms,136.3,https://www.wunderground.com/history/daily/kr/incheon/RKSI
Ankara,April 26,C,9,NO,18°C,20.4,20°C,Will the highest temperature in Ankara be 20°C on April 26?,0.305,0.695,1802.7456,1450.6890660000001,watch_or_paper_yes_if_official_station_confirms,131.9,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
Shanghai,April 27,C,3,NO,24°C,25.8,26°C,Will the highest temperature in Shanghai be 26°C on April 27?,0.27,0.73,1469.0716,475.24236000000013,watch_or_paper_yes_if_official_station_confirms,92.1,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Seoul,April 26,C,10,NO,17°C,22.6,23°C,Will the highest temperature in Seoul be 19°C on April 26?,0.18,0.82,2201.4396,5782.727509999997,watch_or_paper_yes_if_official_station_confirms,88.3,https://www.wunderground.com/history/daily/kr/incheon/RKSI
