city,date,accounts,side,top_temp,forecast_max_proxy,abs_error_top_vs_proxy,source_verdict_future,event_id,target_market_id,target_question,side_price,side_best_ask_est,yes_price,no_price,spread,liquidity,volume,resolution_source
Moscow,April 26,9,NO,12°C,10.0,2.0,NO_aligned_with_proxy_exact_bin_false,412007,2065210,Will the highest temperature in Moscow be 12°C on April 26?,0.976,0.987,0.024,0.976,0.022,2437.49725,8652.868748999997,
Shanghai,April 26,10,NO,21°C,23.8,2.8,NO_aligned_with_proxy_exact_bin_false,411991,2065032,Will the highest temperature in Shanghai be 21°C on April 26?,0.9535,0.954,0.0465,0.9535,0.001,2138.93389,7751.317905000004,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Beijing,April 26,8,NO,22°C,24.4,2.4,NO_aligned_with_proxy_exact_bin_false,411998,2065108,Will the highest temperature in Beijing be 22°C on April 26?,0.994,0.995,0.006,0.994,0.002,2609.28025,3269.9085079999995,https://www.wunderground.com/history/daily/cn/beijing/ZBAA
Seoul,April 26,10,NO,17°C,22.6,5.6,NO_aligned_with_proxy_exact_bin_false,411976,2064871,Will the highest temperature in Seoul be 17°C on April 26?,0.9915,0.992,0.0085,0.9915,0.001,4149.66348,7654.258636999999,https://www.wunderground.com/history/daily/kr/incheon/RKSI
Munich,April 26,11,NO,16°C,18.3,2.3,NO_aligned_with_proxy_exact_bin_false,411987,2064990,Will the highest temperature in Munich be 16°C on April 26?,0.9905,0.991,0.0095,0.9905,0.001,1794.80252,2849.0465560000007,https://www.wunderground.com/history/daily/de/munich/EDDM
Shanghai,April 27,3,NO,24°C,25.8,1.8,NO_aligned_with_proxy_exact_bin_false,415464,2074474,Will the highest temperature in Shanghai be 24°C on April 27?,0.9645,0.965,0.0355,0.9645,0.001,2651.94716,1471.3408900000009,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Seoul,April 27,6,NO,15°C,16.5,1.5,NO_aligned_with_proxy_exact_bin_false,415449,2074308,Will the highest temperature in Seoul be 15°C on April 27?,0.9755,0.978,0.0245,0.9755,0.005,2763.69366,2273.292451999999,https://www.wunderground.com/history/daily/kr/incheon/RKSI
London,April 26,11,NO,20°C,18.2,1.8,NO_aligned_with_proxy_exact_bin_false,411972,2064828,Will the highest temperature in London be 20°C on April 26?,0.9735,0.975,0.0265,0.9735,0.003,3460.85737,3162.193548999999,https://www.wunderground.com/history/daily/gb/london/EGLC
Munich,April 27,5,NO,18°C,,,fetch_error,415460,2074433,Will the highest temperature in Munich be 18°C on April 27?,0.925,0.93,0.075,0.925,0.01,3038.7466,1528.026828,https://www.wunderground.com/history/daily/de/munich/EDDM
Ankara,April 26,9,NO,18°C,20.4,2.4,NO_aligned_with_proxy_exact_bin_false,411984,2064957,Will the highest temperature in Ankara be 18°C on April 26?,0.9675,0.978,0.0325,0.9675,0.021,1976.70908,2298.8586869999986,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
Tel Aviv,April 26,9,NO,22°C,24.5,2.5,NO_aligned_with_proxy_exact_bin_false,411988,2064997,Will the highest temperature in Tel Aviv be 22°C on April 26?,0.992,0.993,0.008,0.992,0.002,5310.73044,1674.1772719999997,
Denver,April 26,6,NO,64°F,58.6,5.4,NO_aligned_with_proxy_exact_bin_false,412003,2065171,Will the highest temperature in Denver be 64°F or higher on April 26?,0.9535,0.955,0.0465,0.9535,0.003,1300.63645,4432.186793000001,https://www.wunderground.com/history/daily/us/co/aurora/KBKF
